Thread  	Address                 	Instruction                     	Result                                  	
000008AC	.text:00401AD5          	Memory layout changed: 33 segments	Memory layout changed: 33 segments      	
000008AC	                        	                                	ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=001B DS=0023 ES=0023 FS=003B GS=0000 SS=0023 EAX=0040466C EBX=00000019 ECX=00000000 EDX=00000001 ESI=00000000 EDI=00400000 EBP=0012FFC0 ESP=0012FE04 EFL=00000212 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= MM4= MM5= MM6= MM7= 	
000008AC	.text:00401AD5          	mov     dword ptr [esp-0Ch], 0E8C3E030h	                                        	
000008AC	.text:00401ADD          	push    0FC33AC30h              	ESP=0012FE00                            	
000008AC	.text:00401AE2          	sub     dword ptr [esp], 0FBF39141h	                                        	
000008AC	.text:00401AE9          	push    esp                     	ESP=0012FDFC                            	
000008AC	.text:00401AEA          	add     dword ptr [esp], 0FFFFFFF8h	CF=1 AF=0                               	
000008AC	.text:00401AEE          	retn                            	ESP=0012FE00                            	
000008AC	Stack[000007B0]:0012FDF8	mov     cl, [esp+ebx+1C8C8A88h] 	EAX=0040462A CF=0                       	
000008AC	Stack[000007B0]:0012FDFA	sbb     al, 88h                 	ESP=0012FE04                            	
000008AC	.text:00401AEF          	jz      short loc_401AF4        	                                        	
000008AC	.text:00401AF1          	jnz     short loc_401AF4        	                                        	
000008AC	.text:loc_401AF4        	mov     dword ptr [esp-10h], 881C8C8Ah	                                        	
000008AC	.text:00401AFC          	mov     dword ptr [esp-0Ch], 0C3000000h	                                        	
000008AC	.text:00401B04          	jnz     short loc_401B09        	                                        	
000008AC	.text:loc_401B09        	push    offset loc_401B14       	ESP=0012FE00                            	
000008AC	.text:00401B0E          	push    esp                     	ESP=0012FDFC                            	
000008AC	.text:00401B0F          	sub     dword ptr [esp], 0Ch    	AF=1                                    	
000008AC	.text:00401B13          	retn                            	ESP=0012FE00                            	
000008AC	Stack[000007B0]:0012FDF4	mov     cl, [esp+ebx+1C8C8A88h] 	ECX=00000056                            	
000008AC	Stack[000007B0]:0012FDFB	mov     [edx-7577E374h], cl     	ESP=0012FE04                            	
000008AC	.text:loc_401B14        	rol     al, cl                  	EAX=0040468A                            	
000008AC	.text:00401B16          	mov     ebx, [esp+ebx+2Ch]      	EBX=064EF4C3                            	
000008AC	.text:00401B1A          	jnz     short loc_401B20        	                                        	
000008AC	.text:loc_401B20        	mov     dword ptr [esp-0Ch], 0C3D3B00Fh	                                        	
000008AC	.text:00401B28          	jz      short loc_401B2D        	                                        	
000008AC	.text:00401B2A          	jnz     short loc_401B2D        	                                        	
000008AC	.text:loc_401B2D        	push    offset loc_401B38       	ESP=0012FE00                            	
000008AC	.text:00401B32          	lea     ecx, [esp-8]            	ECX=0012FDF8                            	
000008AC	.text:00401B36          	push    ecx                     	ESP=0012FDFC                            	
000008AC	.text:00401B37          	retn                            	ESP=0012FE00                            	
000008AC	Stack[000007B0]:0012FDF8	mov     cl, [esp+ebx+1C8C8A88h] 	EAX=004046C3 CF=1 AF=0 SF=1             	
000008AC	Stack[000007B0]:0012FDFB	mov     [edx-7577E374h], cl     	ESP=0012FE04                            	
000008AC	.text:loc_401B38        	jz      short loc_401B3D        	                                        	
000008AC	.text:00401B3A          	jnz     short loc_401B3D        	                                        	
000008AC	.text:loc_401B3D        	cmovnz  esi, edx                	ESI=00000001                            	
000008AC	.text:00401B40          	xor     ebx, ebx                	EBX=00000000 CF=0 PF=1 ZF=1 SF=0        	
000008AC	.text:00401B42          	jz      short loc_401B46        	                                        	
000008AC	.text:loc_401B46        	mov     ah, al                  	EAX=0040C3C3                            	
000008AC	.text:00401B48          	xchg    eax, esi                	EAX=00000001 ESI=0040C3C3               	
000008AC	.text:00401B49          	jnz     short loc_401B4F        	                                        	
000008AC	.text:00401B4B          	jz      short loc_401B4F        	                                        	
000008AC	.text:loc_401B4F        	mov     dword ptr [esp-0Ch], 0C3D3B00Fh	                                        	
000008AC	.text:00401B57          	push    5C841571h               	ESP=0012FE00                            	
000008AC	.text:00401B5C          	push    esp                     	ESP=0012FDFC                            	
000008AC	.text:00401B5D          	sub     dword ptr [esp+4], 5C43FA07h	AF=1 ZF=0                               	
000008AC	.text:00401B65          	sub     dword ptr [esp], 8      	PF=0                                    	
000008AC	.text:00401B69          	retn                            	ESP=0012FE00                            	
000008AC	Stack[000007B0]:0012FDF8	mov     cl, [esp+ebx+1C8C8A88h] 	EAX=00000000 AF=0                       	
000008AC	Stack[000007B0]:0012FDFB	mov     [edx-7577E374h], cl     	ESP=0012FE04                            	
000008AC	.text:00401B6A          	cmovz   eax, edx                	                                        	
000008AC	.text:00401B6D          	test    eax, eax                	PF=1 ZF=1                               	
000008AC	.text:00401B6F          	jz      short loc_401B7B        	                                        	
000008AC	.text:loc_401B7B        	inc     dword ptr [ebp-14h]     	PF=0 ZF=0                               	
000008AC	.text:00401B7E          	add     esp, 0DCh               	ESP=0012FEE0 AF=1                       	
000008AC	.text:00401B84          	jnz     short loc_401B87        	                                        	
000008AC	.text:loc_401B87        	mov     dword ptr [esp-10h], 301D8B64h	                                        	
000008AC	.text:loc_401B8F        	mov     dword ptr [esp-0Ch], 0C3000000h	                                        	
000008AC	.text:00401B97          	push    offset loc_401BA2       	ESP=0012FEDC                            	
000008AC	.text:00401B9C          	push    esp                     	ESP=0012FED8                            	
000008AC	.text:00401B9D          	sub     dword ptr [esp], 0Ch    	AF=0                                    	
000008AC	.text:00401BA1          	retn                            	ESP=0012FEDC                            	
000008AC	Stack[000007B0]:0012FED0	or      bl, dl                  	EBX=7FFDA000                            	
000008AC	Stack[000007B0]:0012FED7	wait                            	ESP=0012FEE0                            	
000008AC	.text:loc_401BA2        	mov     ecx, 0Dh                	ECX=0000000D                            	
000008AC	.text:00401BA7          	shl     ecx, 3                  	ECX=00000068                            	
000008AC	.text:00401BAA          	jnz     short loc_401BAD        	                                        	
000008AC	.text:loc_401BAD        	mov     bl, [ebx+ecx]           	EBX=7FFDA070                            	
000008AC	.text:00401BB0          	shr     ebx, 3                  	EBX=0FFFB40E                            	
000008AC	.text:00401BB3          	and     ebx, 0Eh                	EBX=0000000E                            	
000008AC	.text:00401BB6          	shr     ebx, 1                  	EBX=00000007                            	
000008AC	.text:00401BB8          	jz      short loc_401BBD        	                                        	
000008AC	.text:00401BBA          	jnz     short loc_401BBD        	                                        	
000008AC	.text:loc_401BBD        	cmp     ebx, 7                  	PF=1 ZF=1                               	
000008AC	.text:00401BC0          	setz    bl                      	EBX=00000001                            	
000008AC	.text:00401BC3          	sub     al, bl                  	EAX=000000FF CF=1 AF=1 ZF=0 SF=1        	
000008AC	.text:00401BC5          	pop     ebx                     	EBX=00000000 ESP=0012FEE4               	
000008AC	.text:00401BC6          	add     eax, ebx                	CF=0 AF=0 SF=0                          	
000008AC	.text:00401BC8          	jnz     short locret_401BCD     	                                        	
000008AC	.text:locret_401BCD     	retn                            	ESP=0012FEE8                            	
000008AC	.text:00401736          	jz      short loc_40173B        	                                        	
000008AC	.text:00401738          	jnz     short loc_40173B        	                                        	
000008AC	.text:loc_40173B        	push    ebx                     	ESP=0012FEE4                            	
000008AC	.text:0040173C          	push    eax                     	ESP=0012FEE0                            	
000008AC	.text:0040173D          	jnz     short loc_401742        	                                        	
000008AC	.text:loc_401742        	mov     dword ptr [esp], 200000h	                                        	
000008AC	.text:00401749          	ror     dword ptr [esp], 1Fh    	                                        	
000008AC	.text:0040174D          	sub     dword ptr [esp], 0FFFFE8A5h	CF=1 PF=0 AF=1                          	
000008AC	.text:00401754          	jnz     short locret_401758     	                                        	
000008AC	.text:locret_401758     	retn    4                       	ESP=0012FEE8                            	
000008AC	.text:0040175B          	push    eax                     	ESP=0012FEE4                            	
000008AC	.text:0040175C          	add     esp, 0FFFFFF24h         	ESP=0012FE08 AF=0                       	
000008AC	.text:00401762          	jnz     short loc_401766        	                                        	
000008AC	.text:loc_401766        	mov     ebx, esp                	EBX=0012FE08                            	
000008AC	.text:00401768          	mov     dword ptr [ebx+0D8h], 9FAB3165h	                                        	
