Thread  	Address                 	Instruction                     	Result                                  	
00000AF4	ntdll.dll:ntdll_DbgUiRemoteBreakin	Memory layout changed: 34 segments	Memory layout changed: 34 segments      	
000001DC	                        	                                	ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=001B DS=0023 ES=0023 FS=003B GS=0000 SS=0023 EAX=0012FE1C EBX=00000000 ECX=0012FFBC EDX=00250608 ESI=0012FD2C EDI=00250688 EBP=0012FCEC ESP=0012FCCC EFL=00000346 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= MM4= MM5= MM6= MM7= 	
000001DC	ntdll.dll:ntdll_KiFastSystemCall:ntdll_KiFastSystemCallRet	retn                            	EAX=00000000 ECX=00000001 EDX=FFFFFFFF ESP=0012FCD0 TF=0 	
000001DC	ntdll.dll:ntdll_NtRequestWaitReplyPort+C	retn    0Ch                     	ESP=0012FCE0                            	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+57	cmp     edi, ebx                	ZF=0                                    	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+59	jnz     loc_7C91D560            	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer:loc_7C91D560	mov     ecx, dword_7C97F114     	ECX=00930000                            	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B325	sub     [esi+18h], ecx          	CF=1 SF=1                               	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B328	lea     edx, [edi+10h]          	EDX=00250698                            	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B32B	mov     edi, [edi+8]            	EDI=00000001                            	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B32E	cmp     edi, ebx                	CF=0 PF=0 SF=0                          	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B330	jz      loc_7C9122A0            	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B336	mov     [ebp+arg_0], edi        	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer:loc_7C91D57A	mov     ecx, [edx]              	ECX=00000084                            	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B33B	add     edx, 4                  	EDX=0025069C PF=1                       	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B33E	cmp     ecx, ebx                	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B340	jz      short loc_7C91D590      	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B342	add     ecx, esi                	ECX=0012FDB0 PF=0 AF=1                  	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B344	mov     [edx-4], ecx            	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B347	mov     edi, dword_7C97F114     	EDI=00930000                            	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B34D	sub     [ecx], edi              	PF=1 AF=0                               	
000001DC	ntdll.dll:ntdll_CsrClientCallServer:loc_7C91D590	dec     [ebp+arg_0]             	ZF=1                                    	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+B352	jz      loc_7C9122A0            	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer:loc_7C9122A0	pop     edi                     	EDI=00000000 ESP=0012FCE4               	
000001DC	ntdll.dll:ntdll_CsrClientCallServer:loc_7C9122A1	cmp     eax, ebx                	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+62	jl      loc_7C93E1F0            	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer:loc_7C9122A9	mov     eax, [esi+20h]          	                                        	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+6B	pop     esi                     	ESI=00000032 ESP=0012FCE8               	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+6C	pop     ebx                     	ESP=0012FCEC                            	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+6D	pop     ebp                     	EBP=0012FDE8 ESP=0012FCF0               	
000001DC	ntdll.dll:ntdll_CsrClientCallServer+6E	retn    10h                     	ESP=0012FD04                            	
000001DC	kernel32.dll:sub_7C872901+1C8	cmp     [ebp-9Ch], edi          	                                        	
000001DC	kernel32.dll:sub_7C872901+1CE	jl      short loc_7C872B1D      	                                        	
000001DC	kernel32.dll:sub_7C872901+1D0	mov     dword ptr [ebp-4], 1    	                                        	
000001DC	kernel32.dll:sub_7C872901+1D7	mov     ecx, [ebp-34h]          	ECX=00000003                            	
000001DC	kernel32.dll:sub_7C872901+1DA	mov     eax, [ebp-0D4h]         	EAX=0012FFBC                            	
000001DC	kernel32.dll:sub_7C872901+1E0	mov     [eax], ecx              	                                        	
000001DC	kernel32.dll:sub_7C872901+1E2	cmp     byte ptr [ebp+1Ch], 0   	                                        	
000001DC	kernel32.dll:sub_7C872901+1E6	jz      short loc_7C872AFD      	                                        	
000001DC	kernel32.dll:sub_7C872901:loc_7C872AFD	mov     ecx, [ebp-34h]          	                                        	
000001DC	kernel32.dll:sub_7C872901+1FF	mov     esi, [ebp-38h]          	ESI=0025069C                            	
000001DC	kernel32.dll:sub_7C872901+202	mov     edi, [ebp-0CCh]         	EDI=00402186                            	
000001DC	kernel32.dll:sub_7C872901+208	mov     eax, ecx                	EAX=00000003                            	
000001DC	kernel32.dll:sub_7C872901+20A	shr     ecx, 2                  	ECX=00000000 CF=1                       	
000001DC	kernel32.dll:sub_7C872901+20D	rep movsd                       	                                        	
000001DC	kernel32.dll:sub_7C872901+20F	mov     ecx, eax                	ECX=00000003                            	
000001DC	kernel32.dll:sub_7C872901+211	and     ecx, 3                  	CF=0 ZF=0                               	
000001DC	kernel32.dll:sub_7C872901+214	rep movsb                       	ECX=00000000 ESI=0025069F EDI=00402189  	
